participantId,surveyCode,time,age,gender,imageExperience,1648475242929\bus_bicubic.png,1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_ogniewski.png,1648475242929\smolking_lab.png,1648475242929\smolking_linrgb.png,1648475242929\smolking_srgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1648475242929\snail_srgb.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_ogniewski.png
312a7c52-7a84-44a4-9472-fc147fb0d211,lKVzlebLc,1432.307,1,male,professional,3,1,0,2,3,1,0,2,1,0,3,2,1,0,2,0,1,2,1,3,2,0
55adec2e-2835-4aa9-aefe-b2c6b32dca1c,_fgvUTLo8,330.8020000000001,47,male,professional,1,3,0,2,1,2,0,3,2,1,0,3,1,0,2,2,1,0,2,0,1,3
dd6e52d4-8d27-4961-94b0-27e679e0cb97,R_kaVHnYW,168.833,23,male,education,2,1,0,3,1,2,0,3,2,1,0,3,0,2,1,0,2,1,2,0,1,3
2769aaec-2042-479a-9e9d-2100dca259cf,glqfJFHkZ,19.183,1,other,none,3,2,0,1,0,2,1,2,1,0,2,1,3,0,2,3,0,1,0,3,2,1
bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,bQWETiEiY,478.702,56,male,professional,2,1,0,3,3,1,0,2,2,1,0,3,1,0,2,0,1,2,3,0,1,2


imageA,imageB,chosenImage,time,participantId,isRepeat
1648475242929\bus_bicubic.png,1648475242929\bus_bilinear.png,1648475242929\bus_bicubic.png,53.354,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_bicubic.png,25.603,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,1648475242929\bus_ogniewski.png,3.338,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bilinear.png,1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,8.419,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,3.138,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bilinear.png,37.746,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bicubic.png,1.88,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bicubic.png,1.506,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,5.421,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,61.465,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_ogniewski.png,2.656,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bilinear.png,2.147,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_ogniewski.png,32.145,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,22.906,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_lanczos3.png,0.821,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_ogniewski.png,10.965,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_bicubic.png,10.644,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\smolking_linrgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_lab.png,966.818,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\smolking_srgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_srgb.png,35.429,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\snail_linrgb.png,1648475242929\snail_srgb.png,1648475242929\snail_srgb.png,76.964,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\snail_srgb.png,1648475242929\snail_lab.png,1648475242929\snail_srgb.png,13.172,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\snail_lab.png,1648475242929\snail_srgb.png,1648475242929\snail_lab.png,20.374,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,7.423,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_lanczos3.png,2.503,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bilinear.png,0.869,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_lanczos3.png,52.368,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bicubic.png,73.93,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bicubic.png,29.353,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_ogniewski.png,25.378,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,1648475242929\bus_bilinear.png,9.287,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,6.97,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,10.348,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,1
1648475242929\bus_bicubic.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bicubic.png,16.383,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_ogniewski.png,26.602,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,41.838,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bilinear.png,3.287,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,2.247,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,2.04,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,1
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bicubic.png,4.358,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,13.346,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bicubic.png,15.808,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,1
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_ogniewski.png,3.178,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bicubic.png,1.957,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bicubic.png,3.016,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bilinear.png,1.775,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\smolking_lab.png,1648475242929\smolking_linrgb.png,1648475242929\smolking_lab.png,17.457,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\smolking_srgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_srgb.png,53.148,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,13.207,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\snail_lab.png,1648475242929\snail_srgb.png,1648475242929\snail_lab.png,12.475,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\snail_srgb.png,1648475242929\snail_lab.png,1648475242929\snail_srgb.png,9.394,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,1
1648475242929\snail_srgb.png,1648475242929\snail_linrgb.png,1648475242929\snail_linrgb.png,8.869,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_ogniewski.png,28.418,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_ogniewski.png,8.578,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,1
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_ogniewski.png,14.976,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bicubic.png,8.497,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_bicubic.png,8.151,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_lanczos3.png,5.982,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_bilinear.png,1648475242929\bus_bicubic.png,1648475242929\bus_bicubic.png,13.49,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\bus_lanczos3.png,1648475242929\bus_bicubic.png,1648475242929\bus_bicubic.png,3.222,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\bus_lanczos3.png,1648475242929\bus_bilinear.png,1648475242929\bus_bilinear.png,5.537,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bilinear.png,5.463,dd6e52d4-8d27-4961-94b0-27e679e0cb97,1
1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,1648475242929\bus_ogniewski.png,4.228,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_ogniewski.png,2.267,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,3.067,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,2.49,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,3.051,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,1.343,dd6e52d4-8d27-4961-94b0-27e679e0cb97,1
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1.617,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bicubic.png,2.242,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bicubic.png,1.775,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bicubic.png,1.822,dd6e52d4-8d27-4961-94b0-27e679e0cb97,1
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_bicubic.png,4.932,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bilinear.png,8.347,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_ogniewski.png,2.855,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,2.331,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\smolking_srgb.png,1648475242929\smolking_linrgb.png,1648475242929\smolking_linrgb.png,16.495,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\smolking_linrgb.png,1648475242929\smolking_srgb.png,1648475242929\smolking_linrgb.png,2.127,dd6e52d4-8d27-4961-94b0-27e679e0cb97,1
1648475242929\smolking_lab.png,1648475242929\smolking_linrgb.png,1648475242929\smolking_linrgb.png,18.026,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\smolking_lab.png,1648475242929\smolking_srgb.png,1648475242929\smolking_srgb.png,8.129,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\snail_srgb.png,1648475242929\snail_linrgb.png,1648475242929\snail_linrgb.png,2.69,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1.727,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,1.7,dd6e52d4-8d27-4961-94b0-27e679e0cb97,1
1648475242929\snail_lab.png,1648475242929\snail_srgb.png,1648475242929\snail_srgb.png,2.441,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_ogniewski.png,42.103,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_ogniewski.png,4.324,dd6e52d4-8d27-4961-94b0-27e679e0cb97,1
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_ogniewski.png,3.659,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_bicubic.png,3.939,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bicubic.png,6.04,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,2.133,dd6e52d4-8d27-4961-94b0-27e679e0cb97,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_ogniewski.png,0.544,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_bilinear.png,0.573,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bilinear.png,0.49,2769aaec-2042-479a-9e9d-2100dca259cf,1
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bicubic.png,0.723,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_bicubic.png,0.475,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1648475242929\snail_linrgb.png,0.618,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1.171,2769aaec-2042-479a-9e9d-2100dca259cf,1
1648475242929\snail_srgb.png,1648475242929\snail_linrgb.png,1648475242929\snail_linrgb.png,0.99,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\snail_srgb.png,1648475242929\snail_lab.png,1648475242929\snail_srgb.png,0.477,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\smolking_linrgb.png,1648475242929\smolking_srgb.png,1648475242929\smolking_linrgb.png,0.573,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\smolking_lab.png,1648475242929\smolking_linrgb.png,1648475242929\smolking_lab.png,0.619,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bilinear.png,0.54,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_lanczos3.png,0.55,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_bicubic.png,0.525,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_lanczos3.png,0.911,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_lanczos3.png,1.007,2769aaec-2042-479a-9e9d-2100dca259cf,1
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1.492,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1.343,2769aaec-2042-479a-9e9d-2100dca259cf,1
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,0.796,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_ogniewski.png,1.493,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bicubic.png,0.783,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,0.622,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\bus_bilinear.png,1648475242929\bus_bicubic.png,1648475242929\bus_bilinear.png,1.402,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\bus_bilinear.png,1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,1.304,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_ogniewski.png,1.142,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\bus_ogniewski.png,1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,0.805,2769aaec-2042-479a-9e9d-2100dca259cf,1
1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,0.983,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bilinear.png,1.048,2769aaec-2042-479a-9e9d-2100dca259cf,0
1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,1648475242929\bus_ogniewski.png,19.207,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_ogniewski.png,68.95,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\bus_ogniewski.png,1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,11.766,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,1
1648475242929\bus_bicubic.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bicubic.png,27.443,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\bus_bilinear.png,1648475242929\bus_bicubic.png,1648475242929\bus_bicubic.png,16.005,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bilinear.png,5.799,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,7.781,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,5.114,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,1
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_ogniewski.png,6.387,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bilinear.png,2.408,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bicubic.png,10.543,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bicubic.png,5.257,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_ogniewski.png,19.259,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_ogniewski.png,40.284,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,6.141,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,1
1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bicubic.png,4.647,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bicubic.png,13.892,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_bilinear.png,3.628,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\smolking_linrgb.png,1648475242929\smolking_srgb.png,1648475242929\smolking_srgb.png,21.202,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\smolking_srgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_srgb.png,21.75,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\smolking_lab.png,1648475242929\smolking_srgb.png,1648475242929\smolking_lab.png,27.371,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,1
1648475242929\smolking_linrgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_lab.png,48.827,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,33.207,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\snail_srgb.png,1648475242929\snail_linrgb.png,1648475242929\snail_srgb.png,18.039,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bicubic.png,38.052,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_bicubic.png,7.109,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,6.421,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,1
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_ogniewski.png,26.716,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_ogniewski.png,8.476,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_lanczos3.png,3.834,bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,0
